2024-01-27 17:16:52 INFO  cic.cs.unb.ca.ifm.Cmd    Please select pcap!
2024-01-27 17:17:05 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2024-01-27 17:17:18 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    path:C:\Users\mahal\Downloads\cicflowmeter-4\CICFlowMeter-4.0\bin\data\daily\2024-01-27_Flow.csv
2024-01-27 17:17:23 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2024-01-27 17:17:30 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    path:C:\Users\mahal\Downloads\cicflowmeter-4\CICFlowMeter-4.0\bin\data\daily\2024-01-27_Flow.csv
2024-01-27 17:21:13 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2024-01-27 17:21:37 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    path:C:\Users\mahal\Downloads\cicflowmeter-4\CICFlowMeter-4.0\bin\data\daily\2024-01-27_Flow.csv
2024-01-27 17:21:53 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2024-01-27 17:22:12 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    path:C:\Users\mahal\Downloads\cicflowmeter-4\CICFlowMeter-4.0\bin\data\daily\2024-01-27_Flow.csv
2024-01-27 17:46:26 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select input C:\Users\mahal\Downloads\testdata.pcap
2024-01-27 17:46:49 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select output C:\Users\mahal\Downloads
2024-01-27 17:46:55 DEBUG cic.cs.unb.ca.jnetpcap.worker.ReadPcapFileWorker    Working on... C:\Users\mahal\Downloads\testdata.pcap
2024-01-27 17:46:55 DEBUG cic.cs.unb.ca.jnetpcap.PacketReader    Read All packets on C:\Users\mahal\Downloads\testdata.pcap
2024-01-27 17:47:47 DEBUG swing.common.SwingUtils    C:\Users\mahal\Contacts (Access is denied)
2024-01-27 17:47:47 DEBUG swing.common.SwingUtils    C:\Users\mahal\Documents (Access is denied)
2024-01-27 17:47:47 DEBUG swing.common.SwingUtils    C:\Users\mahal\Downloads (Access is denied)
2024-01-27 17:50:40 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2024-01-27 17:50:50 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    path:C:\Users\mahal\Downloads\cicflowmeter-4\CICFlowMeter-4.0\bin\data\daily\2024-01-27_Flow.csv
2024-01-27 17:51:12 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select input C:\Users\mahal\Downloads\testdata.pcap
2024-01-27 17:51:17 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select output C:\Users\mahal\Downloads
2024-01-27 17:51:18 DEBUG cic.cs.unb.ca.jnetpcap.worker.ReadPcapFileWorker    Working on... C:\Users\mahal\Downloads\testdata.pcap
